place_id,name,latitude,longitude,rating,user_ratings_total,location_score,success_label,daily_footfall,footfall_category,monthly_revenue,profitability
ChIJm3hxZLyWwjsRdsx1A_CMm1M,Mataji Sweets,18.3990486,73.73273739999999,5.0,2,100.0,1,10,Low,45000,Low
ChIJS9ExOKqXwjsRmIVP2FJq-aw,धनंजय सपकाळ गणेश सपकाळ,18.3996622,73.73349929999999,2.5,2,50.0,0,10,Low,22500,Low
ChIJaTaVB6CWwjsREg5o25qT3BU,Mechmann Water Solution Systems Pvt. Ltd.,18.4045222,73.7477672,4.5,12,90.0,1,10,Low,40500,Low
ChIJtbUP3B-UwjsR1DhPgX9ushE,The Indian Electric Co - Gorhe Khurd,18.4034455,73.74820989999999,4.4,21,88.0,1,10,Medium,39600,Low
ChIJT_x7KZaVwjsReW1r4hpxK3c,SWAPNPURTI CARS PVT LTD,18.4206713,73.7555627,4.8,39,96.0,1,10,Medium,43200,Low
ChIJa7Hq-J-WwjsRyZ525Csj1SU,Shreenath Super Market,18.4051745,73.7471736,5.0,1,100.0,1,10,Low,45000,Low
ChIJKZzPH5GVwjsRRtBaffXSdMM,Vighnaharta industries & Royal kids school furniture,18.4049846,73.7476641,5.0,4,100.0,1,10,Low,45000,Low
ChIJHWbEGFiXwjsRo3flaHw_JXg,SAMRUDDHI CATERING SERVICES AND EVENTS,18.4050861,73.7488837,5.0,2,100.0,1,10,Low,45000,Low
ChIJIQrOj1qVwjsRh7eAsNEtQDQ,Geetai Bakery,18.4154445,73.76116309999999,5.0,10,100.0,1,10,Low,13500,Low
ChIJO9CrkN2VwjsReJ3d8FfBhOQ,Sinhagadcha Basundi Chaha,18.4208696,73.76242500000001,5.0,8,100.0,1,10,Low,45000,Low
ChIJi8TmqMqXwjsRjmj6FxNV8y0,ADIT ENTERPRISES,18.43302,73.74239659999999,5.0,43,100.0,1,10,Medium,45000,Low
ChIJRVEmTQGVwjsR2Wxm3CMXNEo,Shreenath Provision store,18.406899,73.7570575,5.0,1,100.0,1,10,Low,45000,Low
ChIJUar5z6-VwjsR9tbktYRfAo8,New Swapnpurti Cars| Garage| Showroom| Car Workshop,18.4147787,73.7624534,5.0,154,100.0,1,15,High,67500,Low
ChIJXyZbAQCVwjsRCNUBDys3zCk,Shree Krishna Tyres,18.4140457,73.7631329,3.4,8,68.0,0,10,Low,30599,Low
ChIJZXDguHWVwjsRm-f1Rh8w7D0,Shree Samarth Medical,18.4068605,73.7600626,4.0,1,80.0,1,10,Low,18000,Low
ChIJq6nz-TeVwjsRr1xfJbOvINc,Teen Pariyaan Boutique,18.4090603,73.7634231,5.0,5,100.0,1,10,Low,108000,Low
ChIJve6-HgCVwjsRmWu_o41dLyI,Sinhagad Special basundi chaha,18.4131612,73.76563589999999,2.0,1,40.0,0,10,Low,18000,Low
ChIJC1Bhs7qVwjsRslJbtUZ_ja4,CTR Shoes & Trek Equipments by उनाड भ्रमंती,18.4130549,73.76572209999999,5.0,219,100.0,1,22,High,99000,Low
ChIJ9YAldwCVwjsReJEN-yaBK80,RadheKrushna Pearls and Jewellers,18.413052,73.765773,5.0,3,100.0,1,10,Low,720000,High
ChIJyXgACzOUwjsRAAAAMM4ehBU,SUNNY SUPER MARKET,18.4242362,73.7659668,5.0,1,100.0,1,10,Low,45000,Low
ChIJ2UQVAzSUwjsRI2RJeZgZCsQ,Essar Departmental Store,18.4243005,73.76596049999999,4.4,9,88.0,1,10,Low,39600,Low
ChIJ0WENqYWVwjsRJUNQwpo1IrY,RONAK SWEETS,18.4244915,73.7660295,4.2,12,84.0,1,10,Low,11340,Low
ChIJF5Ti5e-VwjsRqsjiQUn1Uu4,Singh General Army Store,18.4244665,73.76606319999999,5.0,1,100.0,1,10,Low,45000,Low
ChIJL0nJlx2VwjsR6w7kWxoRlRs,Shahara Supper Soppy,18.4244477,73.7662696,5.0,4,100.0,1,10,Low,45000,Low
ChIJsZbhEgCVwjsR50yKgb4NNUs,Shivkripa Medical Hall,18.4255289,73.76630209999999,5.0,3,100.0,1,10,Low,22500,Low
ChIJO7IisT6UwjsR0o_8hOJA-sQ,बाँस टेलर,18.4120623,73.7664996,1.0,1,20.0,0,10,Low,21600,Low
ChIJ00RuUwCVwjsRgyFvrcVQEW8,My Urja - Donje,18.4119441,73.76674469999999,5.0,3,100.0,1,10,Low,45000,Low
ChIJ80sGBvKVwjsRiicPPZxK6kc,Janjir Beer and Wine Shopee,18.4126041,73.76698999999999,4.9,9,98.0,1,10,Low,44100,Low
ChIJAQAAALuVwjsRuVj8TXwJl1k,Blue Star Pools & Spa,18.4398159,73.7741856,4.8,102,96.0,1,10,High,43200,Low
ChIJh2IYm7qVwjsRHdf4pqRSPNM,"New Poona Bakery Cafe, Khadakwasla",18.4429325,73.7805443,3.8,486,76.0,0,37,High,37962,Low
ChIJB3qYf6WVwjsRLh1kCaPgdFc,Shree Jewellers,18.4430452,73.7859847,5.0,3,100.0,1,10,Low,720000,High
ChIJXYi4h3-VwjsRVacAfFE6SIo,MILIT CSD,18.4244315,73.7685967,4.4,49,88.0,1,10,Medium,39600,Low
ChIJ3fAFz82VwjsRbHMguG7c4gk,Ganraj gift and varieties stationery shop,18.4118125,73.7669123,5.0,2,100.0,1,10,Low,45000,Low
ChIJDYFLNjaVwjsR3WNgGSLxOPE,Aaryas wellness and nutrition club,18.408798,73.76915439999999,4.8,9,96.0,1,10,Low,43200,Low
ChIJS6nq30KVwjsRpd5fsvdPLW8,SHRINATH MEDICO,18.41006909999999,73.7677642,4.3,6,86.0,1,10,Low,19350,Low
ChIJgVlhUD6UwjsRbE4wiLFCS_k,shri Gurudatta Provision Store,18.409228,73.7677332,4.0,1,80.0,1,10,Low,36000,Low
ChIJ4Q9jccaVwjsRjCYzGj7mrFo,SRS cabinets,18.4088303,73.7677147,4.8,15,96.0,1,10,Low,43200,Low
ChIJxz7ukAyVwjsRFO2_YvbVcA8,Jay Ganesh Wadapav Center,18.4331953,73.770033,3.0,1,60.0,0,10,Low,27000,Low
ChIJuX05mDOVwjsR97ZXOLQrpGs,तंदुर चहा मते बंधु खडकवासला धरण,18.4352591,73.77122419999999,4.6,5,92.0,1,10,Low,41400,Low
ChIJRdkBlxCVwjsRUTIQsobgNf0,Liquid Hut,18.4019486,73.7683754,3.6,5,72.0,0,10,Low,32400,Low
ChIJN3jyO7eVwjsRw4Zr1r2jbq4,Vinayak Genral Store,18.4401232,73.77608029999999,4.0,4,80.0,1,10,Low,36000,Low
ChIJvwRJJXqVwjsRTU4IcIZ89dc,Swara Creations,18.4420308,73.7869391,4.5,12,90.0,1,10,Low,97200,Low
ChIJk0J3XoaVwjsRUKawmFpT3xk,Sujata Enterprises,18.4347478,73.79565819999999,3.4,5,68.0,0,10,Low,30599,Low
ChIJI7JXWNWVwjsR5lxv8-n77Ns,Siddharth Super Market,18.4423027,73.7792168,5.0,4,100.0,1,10,Low,45000,Low
ChIJUVVVla-VwjsRdpQ8iPNcGOM,Matoshree Super Market,18.4412993,73.7863114,3.1,10,62.0,0,10,Low,27900,Low
ChIJf6iSDzGVwjsRqrZzhyRpJmM,URJA Milk (Mauli Enterprises),18.441559,73.7904247,4.5,26,90.0,1,10,Medium,40500,Low
ChIJwSXmIreVwjsRHtmkjDhhYoE,DEV VINAYAK COLLECTION,18.4399171,73.7758071,4.0,1,80.0,1,10,Low,86400,Low
ChIJrUzJdcuVwjsR7KPFlYvwVNg,Ladli Kids And Ladies Wear,18.4399777,73.7758274,5.0,2,100.0,1,10,Low,108000,Low
ChIJoaVyPd-VwjsRYZ1_G1tY7Ko,Glam shack,18.4402433,73.77641729999999,4.8,32,96.0,1,10,Medium,103680,Low
ChIJOYGHyrCVwjsRPEHzWQmY6qY,Shree Balaji Collection,18.4404297,73.77649,4.5,6,90.0,1,10,Low,97200,Low
ChIJXzDZF0yVwjsRV6hyR7kyNnM,Rubabdar Fashion,18.4416689,73.7787874,5.0,1,100.0,1,10,Low,108000,Low
ChIJP-aAM-eVwjsR3ACW_H7srpI,Hridaya Handloom,18.4412092,73.7878301,4.9,10,98.0,1,10,Low,105840,Low
ChIJOco7VfCVwjsRNwW6dqz2_14,Durva Creation,18.4444461,73.7853931,5.0,19,100.0,1,10,Low,108000,Low
ChIJO5Z3HHCVwjsRauabu-VtGHs,Radhakrishna sarees,18.4431525,73.78997369999999,5.0,1,100.0,1,10,Low,108000,Low
ChIJVVuGBd2VwjsRWcmSwTvnmB8,VIBHA,18.4424465,73.79151949999999,4.8,6,96.0,1,10,Low,103680,Low
ChIJUZDuUraVwjsRyQYVdUz0E08,EXIDE CARE-Kiran Automobile's & Battery point,18.4389242,73.7737671,4.8,6,96.0,1,10,Low,259200,Medium
ChIJX95XAbeVwjsRxn_FCcmJX98,सिध्दी गणेश इलेक्ट्रॉनिक,18.4390394,73.7735795,3.3,3,66.0,0,10,Low,178199,Low
ChIJK7Wq6q-VwjsRAAAAMFou8DM,SANKALP MOBILE SHOPEE,18.441485,73.7845569,5.0,4,100.0,1,10,Low,270000,Medium
ChIJ6wpRiuGVwjsRdqq4GUojcS8,Renu Enterprises - The Smart Computer's Shoppe,18.4417502,73.7868173,5.0,13,100.0,1,10,Low,270000,Medium
ChIJoTDJNQCVwjsRxYycDyn_Fiw,R R Click photography,18.4443669,73.785652,4.5,2,90.0,1,10,Low,243000,Medium
ChIJw7cdFhGVwjsRq3R0Ft3I5zQ,Sairaj solar systems,18.4337871,73.8093947,4.7,13,94.0,1,10,Low,42300,Low
ChIJrfgCJHTAwjsR0S1Btv9_Ug4,Sarode Motors,18.4392764,73.8222074,4.6,39,92.0,1,10,Medium,41400,Low
ChIJt_D1lufqwjsRbQacq961hjc,Chintamani Corporation,18.424625,73.8365754,4.7,3,94.0,1,10,Low,42300,Low
ChIJN6C_xSWVwjsReryRf59U1KI,Yash supermarket sanasnagar,18.4140157,73.8038363,5.0,1,100.0,1,10,Low,45000,Low
ChIJAZ_evPCUwjsRHoBzolnJ6-Q,Agasti Pharmaceuticals,18.4206166,73.80199859999999,5.0,3,100.0,1,10,Low,22500,Low
ChIJLQZvlD2VwjsRSSMuwMboi4Q,Triton Lifesciences,18.4262252,73.8086491,5.0,1,100.0,1,10,Low,22500,Low
ChIJhWxyYGGVwjsRBaMGeAPTBk0,Om Arts,18.4274783,73.808858,5.0,11,100.0,1,10,Low,45000,Low
ChIJmZD1Tz6VwjsRRDavYkRBdYU,Chandrabhaga Janral Store,18.4278954,73.8114125,5.0,1,100.0,1,10,Low,45000,Low
ChIJZ4p2bQCVwjsRxcfRcJZKlpA,Morya Traders,18.4294824,73.80797869999999,5.0,1,100.0,1,10,Low,45000,Low
ChIJyb7YFtyVwjsR5J5ECPSxL9c,DT innovations swimming pools construction company,18.4317308,73.80971819999999,1.0,1,20.0,0,10,Low,9000,Low
ChIJyxHpQOKUwjsRmaflty_UjgE,SOHAM ENTERPRISES,18.432006,73.81090520000001,4.0,1,80.0,1,10,Low,36000,Low
ChIJCSlqFeKUwjsRhdw3tPcTqu0,SAAN SOFAS,18.4323327,73.81112519999999,4.7,95,94.0,1,10,Medium,42300,Low
ChIJRRsnUmCVwjsRJhK_4DusHmE,Nirman Toys,18.4325142,73.8104235,4.7,7,94.0,1,10,Low,42300,Low
ChIJCZ2ljuKUwjsRKVIjWQc3_x8,Dhanlaxmi Super Market,18.4326002,73.8090756,4.7,11,94.0,1,10,Low,42300,Low
ChIJZ-tihkOVwjsRBR3mcgA1BmQ,Pancharatna clasic society,18.4326161,73.8087403,4.2,14,84.0,1,10,Low,37800,Low
ChIJq4ftb3mVwjsRB2Z_kV45P0g,Shree Jewellers,18.433144,73.80958,5.0,8,100.0,1,10,Low,720000,High
ChIJ8fcfBFKVwjsRPCj2pyk-i5M,SANJIVANI MEDICAL,18.4334117,73.8096941,5.0,6,100.0,1,10,Low,22500,Low
ChIJ33o-CXDAwjsR-5Z9lpkTdUU,SJS Computers एस जे एस कॉम्प्युटर्स,18.4334784,73.8106487,5.0,2,100.0,1,10,Low,270000,Medium
ChIJx6Z0mqyVwjsROuHdP6M7yPw,SARVADNY MEDICAL,18.4337881,73.8093947,4.0,1,80.0,1,10,Low,18000,Low
ChIJNS7UgeKUwjsRhTAZ2ik8BPw,Ashwini Ladies Tailors,18.4341519,73.8094241,3.0,1,60.0,0,10,Low,64800,Low
ChIJpxcQeB2VwjsRTpTeG5CMJf0,Scube Building Materials Testing Laboratory Pvt Ltd,18.4341525,73.8094514,5.0,5,100.0,1,10,Low,45000,Low
ChIJbTvEtHyVwjsR7FhlkyhQU-s,KAILAS SUPER MARKET,18.4341915,73.8112712,5.0,2,100.0,1,10,Low,45000,Low
ChIJbasy0PSVwjsRgIMnijYRQeY,V-Tech Audio,18.4343362,73.8106684,4.6,8,92.0,1,10,Low,41400,Low
ChIJ5UZPfQCVwjsRWK7iXhyPSUc,Siddhi Power Solutions,18.4343052,73.8110913,5.0,5,100.0,1,10,Low,45000,Low
ChIJD20bjR2VwjsRX2pMAkclFQI,Shree Aasahapura Super Market,18.4343479,73.8108142,3.0,2,60.0,0,10,Low,27000,Low
ChIJd9f07x2VwjsRoepG1qSUzqg,JAGDAMBA SUPER MARKET,18.4345392,73.8117493,4.4,8,88.0,1,10,Low,39600,Low
ChIJGe9orZWVwjsReJT2yGSmxfg,RADHEY STORES,18.4330283,73.8211497,5.0,12,100.0,1,10,Low,45000,Low
ChIJv7i3th6VwjsRYKZsqfTXd50,शिवराय कॉम्लेक्स,18.4392532,73.8136397,5.0,1,100.0,1,10,Low,45000,Low
ChIJd3vTbVOVwjsR9dGiXeTriAA,Panchasrushti Shopping Complex,18.4422881,73.8158006,3.5,4,70.0,0,10,Low,31499,Low
ChIJJwPQoZaVwjsRI2IifcemHG8,om opticians,18.4436372,73.8157615,5.0,1,100.0,1,10,Low,45000,Low
ChIJCTivuFOVwjsRuPWetI6IW_s,AS Furniture,18.4246094,73.8359345,5.0,16,100.0,1,10,Low,45000,Low
ChIJXZC9gRCVwjsR1jyqiQ8pLuE,Hari Om Balaji Market,18.4452438,73.8098297,4.2,10,84.0,1,10,Low,37800,Low
ChIJxQ8gsDSVwjsRSNW1TWtbaS0,Priya Kangan,18.4455211,73.80984029999999,4.7,3,94.0,1,10,Low,42300,Low
ChIJZZDmYUCVwjsRvk7yzDZLZkE,SAMRAT BAZAR,18.4355729,73.8094206,3.5,26,70.0,0,10,Medium,31499,Low
ChIJ0ZPgx1iVwjsRKPHdFETHpd0,Sadgurukrupa Super Stores,18.4337389,73.82144869999999,5.0,1,100.0,1,10,Low,45000,Low
ChIJVR-XileVwjsRbM4CG2K4BLM,BHAVANI SUPER MARKET,18.4392484,73.8155019,1.0,1,20.0,0,10,Low,9000,Low
ChIJeUMt5zCVwjsRljSZetbvQ6o,Sharda Super Market,18.4400565,73.8091365,3.0,2,60.0,0,10,Low,27000,Low
ChIJmS07NBmVwjsRJF-VMQb2420,NEW SHIV SUPER MARKET,18.4400942,73.81411489999999,4.5,6,90.0,1,10,Low,40500,Low
ChIJB00NNU-VwjsR5j3w2FFYAtE,Sonakshi Super Market,18.4371276,73.82498260000001,1.0,1,20.0,0,10,Low,9000,Low
ChIJ9SkrzRuVwjsRpqMa4ie-ANM,New Balaji Traders,18.4421878,73.8125493,5.0,2,100.0,1,10,Low,45000,Low
ChIJMe9FJCiVwjsRt80LUYpYEQ8,Purabji Super Market,18.4392408,73.8226633,5.0,1,100.0,1,10,Low,45000,Low
ChIJkT0TSBmVwjsRdCVs8JbzT90,Mataji Super Market,18.4422645,73.8162966,5.0,2,100.0,1,10,Low,45000,Low
ChIJtfr3GQOVwjsRDuf8Sm853oE,Shree Ganesh Traders,18.4386136,73.82440179999999,5.0,1,100.0,1,10,Low,45000,Low
ChIJt2g-S1iVwjsRMj-K__NrXUs,Balaji Dhanya Market,18.4388982,73.8242075,2.3,6,46.0,0,10,Low,20700,Low
ChIJ2wcIVBiVwjsRqgysZ11hPK0,BHAIRUNATH SUPER SHOPEE,18.443061,73.8156442,3.7,3,74.0,0,10,Low,33300,Low
ChIJ5b4jhniVwjsRXFIXvq3GIaM,Nilanjan Art,18.4409819,73.8219804,3.8,31,76.0,0,10,Medium,34200,Low
ChIJoeC-ThiVwjsRQy5ZmwyTNN0,Jay Malhar Super Market,18.443769,73.8158997,4.2,10,84.0,1,10,Low,37800,Low
ChIJ-w7L7yaVwjsRN2zDkezEJxw,Siddhi Super Market,18.438883,73.82654529999999,5.0,1,100.0,1,10,Low,45000,Low
ChIJNYQf16mVwjsR6aeQqpcCPqo,Girija Daily Mart,18.4443578,73.8152594,5.0,2,100.0,1,10,Low,45000,Low
ChIJqb_qhhCVwjsR8mlxslYO2c0,Ganesh Super Market,18.445422,73.809902,2.5,2,50.0,0,10,Low,22500,Low
ChIJGz0bYWaVwjsRv4VIosMI3n4,Aaiji Super Market,18.4424737,73.8224044,4.6,8,92.0,1,10,Low,41400,Low
ChIJgVPGWH6DxTsRJikz5hBMLxg,Harsh Collection,18.4357895,73.8065885,5.0,3,100.0,1,10,Low,108000,Low
ChIJr8fA_xyVwjsRRY2NnOvF8ts,DARSHAN SPORTS WEAR,18.4365556,73.8095888,4.7,6,94.0,1,10,Low,101520,Low
ChIJfyxX_hyVwjsR5sab4mSPsC0,विशाल कलेक्शन,18.4366017,73.8093377,5.0,1,100.0,1,10,Low,108000,Low
ChIJSat1ixyVwjsRQfykQeOxTPk,SHREE MAHALAXMI COLLECTION,18.437911,73.80922819999999,5.0,5,100.0,1,10,Low,108000,Low
ChIJvbb8kGCVwjsRsU8R7DTWgSg,Raosaheb Kid's Wear,18.438394,73.8091307,5.0,7,100.0,1,10,Low,108000,Low
ChIJqZpORO6VwjsRPhCbDTNDymc,Vastrakriti By Swati (VKbySwati) – Designer Women’s & Kids’ Wear | Custom Tailoring & Designer Outfits,18.43643299999999,73.7998645,4.9,19,98.0,1,10,Low,105840,Low
ChIJM8odfhuVwjsRydIQ14Mxhr8,Sree Swamy Collection,18.4393251,73.80925359999999,5.0,1,100.0,1,10,Low,108000,Low
ChIJhQZ8CdaVwjsRLAL8F3eGJu8,"pradha collection | women's clothing | ladies garment | best ladies wear in dhayari, pune",18.4395865,73.8091932,5.0,7,100.0,1,10,Low,108000,Low
ChIJ0csbLEqVwjsR45-2Ul7lbw4,Mavala men's wear,18.4387622,73.8159198,5.0,3,100.0,1,10,Low,108000,Low
ChIJ6W2pJx-VwjsRTG4xUX9PVLM,R C DESIGNER BOUTIQUE,18.4390337,73.8155414,5.0,1,100.0,1,10,Low,108000,Low
ChIJY4BQOQCVwjsRkY5SpXEbQog,Jai Shankar pooja bhandar & Bangel store,18.4399504,73.80917889999999,5.0,1,100.0,1,10,Low,108000,Low
ChIJ-yzbEDSVwjsRwsgAo9rxaH8,Get Trendy,18.440059,73.808668,5.0,6,100.0,1,10,Low,108000,Low
ChIJEaoE5tSVwjsRwd3c4C5UCqE,Shri Mahalaxxmi silk and saree's,18.4395301,73.8147852,4.9,9,98.0,1,10,Low,105840,Low
ChIJX-129CSVwjsRQHmJNUi4pe0,Gururaj Garments And Hosiery.,18.4400039,73.8140506,4.1,7,82.0,1,10,Low,88560,Low
ChIJC18-bcaVwjsRE1oBcmfbnZ0,Osiya Pooja Bhandar,18.4408505,73.80940149999999,5.0,1,100.0,1,10,Low,108000,Low
ChIJw6JtGHeVwjsRxyLGJHP5pqo,Jyoti Collection,18.4407386,73.8134686,5.0,4,100.0,1,10,Low,108000,Low
ChIJwRsURB-VwjsR4MpICffVa4s,Nandini creation,18.4420532,73.809017,5.0,2,100.0,1,10,Low,108000,Low
ChIJV5kf7ReVwjsRsjG2Sjq4I7E,Snehal Vikky Thakur Snehal Collection,18.4419977,73.8129732,5.0,1,100.0,1,10,Low,108000,Low
ChIJr6lPciGVwjsR2XB6tZ_nvRo,Shreeja Ladies Corner,18.4392133,73.82190920000001,5.0,21,100.0,1,10,Medium,108000,Low
ChIJUVIzRwCVwjsRSitkqYZGiFI,Sagar Electrician and plumber,18.436607,73.8182988,5.0,30,100.0,1,10,Medium,270000,Medium
ChIJbTFrOACVwjsRedyeZ6R5wf0,Rathodsolar,18.43855,73.8138402,5.0,1,100.0,1,10,Low,270000,Medium
ChIJez86cwCVwjsRH00q5eW7xpo,Raykar mala,18.439487,73.8091769,3.7,3,74.0,0,10,Low,199800,Low
ChIJt8I54kuVwjsR-iAZuc-Y67M,Ojasvi Laptop House,18.4401119,73.7998149,4.9,192,98.0,1,19,High,502740,High
ChIJf5bSWACVwjsRJXm70j80YnU,Karunya Photo Studio,18.4425964,73.81092509999999,5.0,9,100.0,1,10,Low,270000,Medium
ChIJgfuG3gTrwjsRt6fixAnmuzA,Prime cctv And computers,18.4385095,73.824328,4.3,6,86.0,1,10,Low,232200,Medium
ChIJvyWjODSVwjsRSGIupLGxhZ0,Laxami Electricals,18.4387258,73.8240568,4.0,2,80.0,1,10,Low,216000,Medium
ChIJ3zzCfBSVwjsRRr_w92UWDcc,OM SAI MAINTENANCE SERVICES,18.4432724,73.8098463,5.0,15,100.0,1,10,Low,270000,Medium
ChIJD1mrMhqVwjsRj9M-PqAybF4,Suraj Electricals And Electronics,18.4432532,73.8108283,5.0,1,100.0,1,10,Low,270000,Medium
ChIJzwn2OmqVwjsRXpPv-PrG7fw,RATHORE GAS STOVE REPAIR AND HOME SERVICE PUNE,18.4430413,73.81429949999999,5.0,2,100.0,1,10,Low,270000,Medium
ChIJPwnQvxmVwjsR2iK3q0OWKeg,Beats Pro Audio Light & Genset,18.443912,73.8140109,5.0,1,100.0,1,10,Low,270000,Medium
ChIJETvMFp-VwjsRH5RtIO9tpq4,Suryansh events & fabricates,18.4233287,73.83628329999999,5.0,1,100.0,1,10,Low,270000,Medium
ChIJI8TnmKWVwjsR6MPDD4SUmms,AJAY ELECTRICALS,18.4387989,73.8267145,5.0,6,100.0,1,10,Low,270000,Medium
ChIJbWF_JsWVwjsRdqIR4FaykuY,Sai Computers,18.4425782,73.8216512,4.8,29,96.0,1,10,Medium,259200,Medium
ChIJ5TPfhxCVwjsRSWgdF-ReeSE,Rathod Systems,18.4453029,73.81054,3.0,3,60.0,0,10,Low,162000,Low
ChIJoVVVVeDqwjsRH_ubQBSrCXo,CK Motocorp,18.429146,73.8572875,4.5,90,90.0,1,10,Medium,40500,Low
ChIJVVVVFXyVwjsRC1klIRj54Lo,SHREE TUULJAI ELECTRICAL PVT LTD,18.44082909999999,73.83985799999999,4.2,5,84.0,1,10,Low,37800,Low
ChIJ4-i4bSuVwjsR1LzFuAUREJw,Café Coffee Day,18.4408787,73.839783,4.0,2063,80.0,1,169,High,182520,Low
ChIJNdGodNvqwjsRPTpv-d7pvw0,Comfort Sitting Solutions,18.434724,73.8583558,4.9,21,98.0,1,10,Medium,44100,Low
ChIJX7-m0d_qwjsRPXPyVsNEvEo,Super Aqua Technology,18.4379454,73.8543026,3.6,7,72.0,0,10,Low,32400,Low
ChIJv1nCqDGVwjsReoAS83jR8XE,SV ENGINEERING TECHNOLOGY,18.441726,73.8340267,4.0,1,80.0,1,10,Low,36000,Low
ChIJe-3UkCyVwjsR06-uwxMvAgk,PULCUB HEALTHCARE PRIVATE LIMITED,18.4428727,73.8401066,4.5,11,90.0,1,10,Low,40500,Low
ChIJ3cwYRRHAwjsRUiIE4G2IahQ,Maini Auto Agencies,18.4375792,73.8607631,4.3,16,86.0,1,10,Low,38700,Low
ChIJw0Vv-iDrwjsRglgiyQCrFQM,Chhatrapati Custom Cycles & Accesories,18.4361995,73.8619698,4.9,17,98.0,1,10,Low,44100,Low
ChIJobKzXjKVwjsR6GV28Hnp99g,R R Glass,18.4213815,73.8375235,5.0,2,100.0,1,10,Low,45000,Low
ChIJ78XXmWCVwjsRfmsPmalJzIU,Payal furniture,18.4218208,73.8373259,5.0,2,100.0,1,10,Low,45000,Low
ChIJ1bufPmeVwjsR5dddboxUENE,Sun Coat,18.4230665,73.8373464,5.0,1,100.0,1,10,Low,45000,Low
ChIJPQODEwCVwjsRwieqncAaHJ4,Hotel swaad,18.4236184,73.8362343,5.0,1,100.0,1,10,Low,45000,Low
ChIJaSaHewKVwjsRYq32sc2683U,Devendra CNG Cylinder Testing Center | CNG Cylinder Hydro Testing | CNG Tank Renewal I CNG Cascade Refurbishment in pune,18.4246644,73.8369242,4.9,438,98.0,1,44,High,194040,Low
ChIJMSVLwa6VwjsRrxJBXei5x-E,Anand Super Market,18.4242171,73.8361723,2.9,7,58.0,0,10,Low,26100,Low
ChIJX9cqxQCVwjsRJMuRNIGMxto,Sonu furniture jambhulwadi,18.4245375,73.8359844,4.4,13,88.0,1,10,Low,39600,Low
ChIJQx2Xx7HrwjsROncKIHHbIVc,RAJDEEP AUTOMOBILES,18.4147474,73.8476495,3.0,2,60.0,0,10,Low,27000,Low
ChIJG5iRH8_rwjsRDL0NUYJcW-w,Marathasahi Puncher,18.4263457,73.8432704,5.0,1,100.0,1,10,Low,45000,Low
ChIJxd6ySwHrwjsRJzMNAgO2K1I,MILITARY OLD VEHICLE DEALER,18.4143871,73.8476848,5.0,3,100.0,1,10,Low,45000,Low
ChIJp0HhtUzrwjsR8OhQbZZYDvs,Online Fastag Services,18.4272663,73.8422777,4.1,8,82.0,1,10,Low,36900,Low
